dataset,category,question,answer_only,answer_conf,explanation,self_reported_confidence,mean_chosen_token_prob,mean_logit_margin,gold_answer,gold_explanation,is_correct,notes
CoSE,,The video game featured an anger bar that you charged up to more easily do what?,The video game featured an anger bar that you charged up to more easily do what?,attack,The video game featured an anger bar that you charged up to more easily do what?,0.99,0.8600318873007047,5.914295447500129,destroy enemy,the video game featured an anger bar that you charged up to more easily do destroy enemy,FALSE,Model echoes question; gold is destroy enemy
CoSE,,The fencing he had worked hard on provided him with what?,A sense of accomplishment.,protection,The fencing he had worked hard on provided him with protection.,0.95,0.8522661968189127,5.459802459268009,protection,people do fencing to protect themselves.,FALSE,Model says accomplishment; gold is protection
CoSE,,What does having to obtain lunch at a restaurant result in?,It results in spending money on food and potentially waiting in line.,having to obtain lunch at a restaurant results in spending money on food and potentially waiting in line,"Having to obtain lunch at a restaurant means that you will need to spend money on food and potentially wait in line. This is because restaurants are businesses and they need to make money. They do this by charging for their food and services. Additionally, during peak times, there may be a lot of people trying to get lunch at the same time, which can result in longer wait times.",0.95,0.8073286610687601,4.281966974,spending money,spending money obtain lunch at a restaurant result,TRUE,Spending money matches gold
CoSE,,What is it called when you spend time with friends and acquaintances?,Socializing,socializing,Socializing is the act of spending time with friends and acquaintances.,0.95,0.8513807887966568,5.425113317128774,socialize,rivers flow trough valleys,TRUE,Socializing matches socialize
eSNLI,,"Premise: A group of people riding a yellow roller coaster.
Hypothesis: A group of people are riding a roller coaster.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise is a specific instance of the hypothesis, which is a more general statement.",0.9,0.7630692984570157,4.129156719554555,0,group of people riding a roller coaster. is same as group of people riding a yellow roller coaster,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A man is giving a presentation in front of a crowd.
Hypothesis: The man is at a sales conference.
Does the premise entail, contradict, or is it neutral?",The premise is neutral.,contradict,"The premise does not entail the hypothesis. The man could be giving a presentation at any type of conference, not just a sales conference.",0.9,0.8011185510592027,4.336726483,1,A man is giving a presentation in front of a crowd does not indicate that he is at a sales conference.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: This guy is try to be his own band and they lady with the baby looks like she enjoying it.
Hypothesis: A lady and baby are listening to a guy.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis because the lady with the baby is not listening to the guy.,0.9,0.7896330233501352,4.348061727440876,0,Enjoying is more specific than enjoying,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A man walking down a pathway ending at a lake.
Hypothesis: A man is walking outdoors.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis because a pathway ending at a lake is not outdoors.,0.9,0.826972779,5.025808707527492,0,"by walking down a path ending at a lake, you are walking outside",FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A girl holding her leg up by her side.
Hypothesis: A girl is holding up her leg
Does the premise entail, contradict, or is it neutral?",Entail,contradict,The premise contradicts the hypothesis because a girl holding her leg up by her side does not imply that she is holding up her leg.,0.99,0.8000521020455794,4.407091435519132,0,The girl is certainly holding her leg up by her side.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: three people wearing winter clothes standing on the sidewalk near a street
Hypothesis: Three people stand outside.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise describes people wearing winter clothes, which implies it is cold outside. However, the hypothesis simply states that three people stand outside, which does not provide any information about the weather or time of day.",0.9,0.7838764153420925,3.910730922923368,0,"Street refers to place outside, where three people are standing",FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A boy in a green shirt and blue jeans riding a segway.
Hypothesis: The boy is going to meet someone.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,The premise does not provide any information about the boy meeting someone.,0.9,0.8145109184086323,4.491295027732849,1,THEY MAY NOT BE MEET IGN SOMEONE.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Helicopter and boats doing training on an island.
Hypothesis: Inexperienced people are learning how to use helicopters and boats.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise and hypothesis are contradictory because the premise implies that inexperienced people are learning how to use helicopters and boats, while the hypothesis implies that inexperienced people are learning how to use helicopters and boats.",0.9,0.8365641534328461,5.068672999357566,1,Training with helicopters and boats does not mean that the training is of inexperienced people or what they are learning.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A little boy jumps off of a bunk bed onto another bed.
Hypothesis: There is a little boy jumping.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,The premise contradicts the hypothesis because it does not mention a little boy jumping.,0.9,0.7923760719077532,4.648623910061149,0,The boy is jumping if he jumps off of a bed onto another bed.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A boy and a girl are standing near the water on a beach.
Hypothesis: A bride and groom take their wedding vows on the beach, near the sparkling blue ocean.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise and hypothesis are two different events, so they do not entail or contradict each other.",0.9,0.7845333010579149,4.545534213383992,1,You can not infer they are the bride and groom.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Teenagers are looking out the window of a bus.
Hypothesis: Teenagers are happily looking out the window.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are contradictory because teenagers are not necessarily happy when looking out the window.,0.9,0.7913982054839531,4.348359922568004,1,Looking out a window can be done with a variety of emotion not always happily.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: The construction workers are doing their job.
Hypothesis: the men outside are working
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise states that the construction workers are doing their job, which implies that they are inside the construction site. The hypothesis states that the men outside are working, which contradicts the premise since they are not inside the construction site.",0.9,0.826200699,4.547243131173624,1,The men might not be construction workers.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A woman in a red cap in a store.
Hypothesis: The man sat in the park.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are not related.,0.9,0.8037202724388668,4.729544149126325,2,Woman and man are different.,TRUE,Both contradiction; correct
eSNLI,,"Premise: Several people are in or near a raft in the water.
Hypothesis: The people are getting into the life raft.
Does the premise entail, contradict, or is it neutral?",Entails,contradict,The premise does not entail getting into the life raft. It only mentions people being in or near a raft in the water.,0.9,0.8038842257644448,4.812399830136981,1,Just because several people are in or near a raft in the water does not necessary that they are getting into the life raft.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Two women are playing musical chairs in an Indian setting.
Hypothesis: The women are standing outside.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,"The premise and hypothesis are contradictory because the premise states that the women are playing musical chairs, which implies they are inside, while the hypothesis states that they are standing outside.",0.9,0.7985504656098783,4.411618530750275,2,Playing musical chairs does not involve standing.,TRUE,Both contradiction; correct
eSNLI,,"Premise: Two dogs running.
Hypothesis: Only one dog is running.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,"The premise and hypothesis are contradictory because if only one dog is running, then the other dog is not running, which contradicts the premise of two dogs running.",100,0.8328762797098006,4.661956002635341,2,There is either one dog or two dogs running.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A young girl with red-hair sits at a table with a red and white tablecloth.
Hypothesis: the girl hates white tablecloths
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise does not provide any evidence to support the hypothesis.,0.9,0.7804485299648383,4.176614785805727,1,Nothing suggests the girl hates white tableclothes,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: People and there pets play in the snow.
Hypothesis: Multiple animals and people are outside.
Does the premise entail, contradict, or is it neutral?",Entails,contradict,"The premise contradicts the hypothesis because it only mentions people and their pets, not multiple animals and people.",0.9,0.798080496,4.680408555634168,0,Pets denotes multiple animals.  One must be outside to play in the snow.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A bicycle with a basket is on a sidewalk.
Hypothesis: A bicycle with a basket is outside.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise is a statement about the location of the bicycle, while the hypothesis is a statement about the location of the bicycle with a basket. Since the premise does not mention the basket, it does not entail the hypothesis. In fact, the premise contradicts the hypothesis because it does not specify that the bicycle has a basket. Therefore, the premise contradicts the hypothesis.",0.9,0.7954492046049347,4.310398322564584,0,Being on a sidewalk implies being outside.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: An elderly musician sits, contemplates, listens and waits.
Hypothesis: An elderly musician doesn't listen
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis.,0.99,0.8298965556280954,5.168130929129465,2,The musician either listens or doesn't listen.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A man pointing across a table at a woman
Hypothesis: A man has his hands in his lap.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,"The premise and hypothesis are contradictory because the premise implies the man is pointing at the woman, while the hypothesis implies the man is not touching the woman.",0.9,0.7735767148435115,4.017796103159586,2,lap and table are different places,TRUE,Both contradiction; correct
eSNLI,,"Premise: A woman with a bright blue satchel measures the blood pressure of an old woman sitting in a chair.
Hypothesis: A nurse is taking care of an elderly patient.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not entail the hypothesis. The woman with the satchel could be a student or a researcher, not a nurse. The old woman sitting in the chair could be a patient in a hospital or a nursing home, not necessarily under the care of a nurse.",0.9,0.7801376556057528,4.326979924397296,1,Measuring blood pressure doesn't mean the woman is a nurse.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A child plays on the floor.
Hypothesis: A child sleeps.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are contradictory because playing on the floor is not a behavior associated with sleeping.,0.99,0.7787237167358398,4.402588202028858,2,A child does not plays and sleep simultaneously.,TRUE,Both contradiction; correct
eSNLI,,"Premise: Young boy walking along the beach.
Hypothesis: A boy is napping.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise does not entail the hypothesis. A boy napping would not be walking along the beach.,0.9,0.7909043421968818,4.477429926395416,2,"The boy is either napping or he is walking, but not both at the same time.",TRUE,Both contradiction; correct
eSNLI,,"Premise: Surfer coasts over some small waves, models for camera.
Hypothesis: The surfer crashes into the water as a huge wave hits him.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are contradictory because the surfer coasts over small waves and then crashes into the water as a huge wave hits him.,0.9,0.8341086989846723,4.757204763,2,"If the surfer coasts over small waves, it is not possible for him to also be the surfer that crashes under a huge wave.",TRUE,Both contradiction; correct
eSNLI,,"Premise: An old woman in a pink shirt is leaning over an item-filled table and exchanging money with a man who is wearing a black and sleeveless shirt and holding a book under his arm.
Hypothesis: The woman is buying a gift.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,The premise does not entail the hypothesis. The woman could be exchanging money for something other than a gift.,0.9,0.8039006441831589,4.652285346984863,1,The book is a gift.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Two girls are ice skating and one is checking her cellphone.
Hypothesis: One girl is shopping for candy.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not provide any information about the girl checking her cellphone, so it cannot be used to infer that she is shopping for candy.",0.9,0.7850584398422923,3.913397397313799,2,There are two girls not one.,TRUE,Both contradiction; correct
eSNLI,,"Premise: People of all ages casually relaxing on stairs in front of a college building.
Hypothesis: The people are located somewhere on a college campus.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis because it does not specify that the people are located on a college campus.,0.9,0.8335925626258055,4.798851967,0,People are enjoying in college campus.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: Five workers on a muddy field.
Hypothesis: The workers are in a field.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis because the workers are not in a field. They are in a muddy field.,0.9,0.7838341647386551,4.345552749633789,0,muddy field shows that field,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: The man in the black hat is shining the businessman's suit.
Hypothesis: a homeless man is trying to earn money shining suits
Does the premise entail, contradict, or is it neutral?",Entail,contradict,The premise contradicts the hypothesis because the man in the black hat is not homeless.,0.9,0.8117494210600853,4.540707588195801,1,Just because a man is shining the businessman's suit does not mean he is homeless.  The man might have a very profitable business shining suits.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A guy in a blue shirt and hat holding an air horn sits on top of a signal light while a guy in a red jacket makes a funny face.
Hypothesis: Two men are playing frisbee at the park.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,"The premise does not entail the hypothesis. The man in the blue shirt and hat is holding an air horn and sitting on a signal light, while the man in the red jacket is making a funny face. These actions do not suggest that they are playing frisbee at the park.",0.9,0.8554420828819275,5.352392925935633,2,"Sitting and playing are different activities, sitting is a passive activity, playing takes energy.",TRUE,Both contradiction; correct
eSNLI,,"Premise: The backs of the heads of two men that are plugging their ears while riding the subway.
Hypothesis: Two men are pluggling their ears on a subway.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise contradicts the hypothesis because the men are plugging their ears while riding the subway, which is not possible.",0.99,0.771966168,4.300838794348375,0,"Two men, who have the backs of their heads showing, are plugging their ears. They are riding the subway, therefore they are on it.",FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A crowded busy dock with people standing next to a freight car either loading or unloading it.aa.
Hypothesis: Freight car is being unloaded next to group of people.
Does the premise entail, contradict, or is it neutral?",Entails,contradict,"The premise does not entail the hypothesis. The premise does not mention anything about the freight car being unloaded. The premise only mentions the dock being crowded and busy with people standing next to it. Therefore, the premise is neutral and does not contradict the hypothesis.",0.9,0.7663675364713336,4.188561151194018,0,Freight car is generally located at a dock while loading and unloading.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A man in a white and blue vertically striped dress shirt with black hair stands in a room next to other people looking forward.
Hypothesis: A group of people stand together waiting to enter a building.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise does not depict a group of people standing together waiting to enter a building.,0.9,0.83655675,5.173739284939236,1,Just because people are standing together in a room and looking forward doesn't mean they are waiting to enter a building.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A white SUV is parked in front a building with a tree whose trunk is painted red.
Hypothesis: A vehicle is in a garage.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise contradicts the hypothesis because the SUV is parked in front of the building and the tree trunk is painted red, indicating that the vehicle is not in a garage.",0.9,0.7818185792815301,4.143989209205873,2,in front a building would not be inside the garage.,TRUE,Both contradiction; correct
eSNLI,,"Premise: Event models stand in the rain holding large umbrellas.
Hypothesis: A few models are wearing swimwear.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,The premise and hypothesis are mutually exclusive. Models cannot be in the rain holding large umbrellas and also wearing swimwear.,0.9,0.7755478,4.764119789817117,1,The fact that e vent models stand in the rain holding umbrellas doesn't imply that a few models are wearing swimwear.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Two businessmen looking up in the middle of the street.
Hypothesis: Businessmen look at the sky
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise and hypothesis are contradictory because the businessmen are looking up at the sky, which is not a business activity.",0.9,0.7315022315619126,3.640004283977005,1,Looking up in the middle of the street does not imply they are looking at the sky.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A woman is walking down a sidewalk lined by cherry trees in bloom.
Hypothesis: A woman walks down a street lined with cherry trees.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise mentions a sidewalk, which is not a street. Therefore, the premise contradicts the hypothesis.",0.9,0.8040801221132279,4.708850917816162,0,A WOMAN IS WALKING OUTSIDE ON A STREET.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: At a beach, a woman, carrying a small child, walk into the water.
Hypothesis: A woman is carrying a small child.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis because it does not specify that the woman is carrying a small child.,0.9,0.7944372321696992,4.4390100519707865,0,The woman is carrying a child while walking into the water so she is carrying a child.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A young man wearing a hat and black t-shirt roller-blades down a rail in a park as other young men look on.
Hypothesis: a skater does tricks
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise does not entail that a skater does tricks. It only describes what the young man is wearing and what he is doing.,0.9,0.7920688306743449,4.262620926,1,The fact that other young men are looking on does not necessarily mean they are doing so because the young man does tricks.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A man grasping the chain marking a roped-off area watches closely as a dancer wearing a pink tutu and red boxing gloves performs on a street in front of a hotel, with a crowd of other spectators and a crossing guard in the background.
Hypothesis: The group of people are all outdoors.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise shows a man indoors watching a performance through a window. Therefore, the group of people are not all outdoors.",0.9,0.8091666431359525,4.891449532418881,0,In front of a hotel implies outdoors.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: Several people are outside of a fruit market on a hot day.
Hypothesis: Some kids are playing in the street in front of the shops.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not provide any information about the kids playing in the street. Therefore, it contradicts the hypothesis.",0.9,0.8167373728752136,4.473994770050049,2,People are not the same as kids.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A man and a woman are sitting on a dock together.
Hypothesis: A man and a woman are swimming in the lake.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise and hypothesis are contradictory because the man and woman are sitting on a dock, not swimming in the lake.",0.9,0.8149779438972473,4.404902054713323,2,"One man and woman are sitting on a dock, while another couple are sitting in the lake.",TRUE,Both contradiction; correct
eSNLI,,"Premise: A man sits alone at a table, playing guitar.
Hypothesis: A man is playing music.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not entail the hypothesis. The man could be playing guitar for any reason, not necessarily music.",0.9,0.7460718324780464,3.836039123535156,0,Playing a guitar implies the playing of music.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: Two men wearing sunglasses, one wearing a cowboy hat and both in blue shirts, sit and talk.
Hypothesis: The two men are sitting and conversating.
Does the premise entail, contradict, or is it neutral?",Neutral,neutral,"The premise is neutral and does not entail, contradict or provide any information about the men's actions.",0.5,0.8226481055726811,4.594518038691307,0,"The two men are sitting and conversating rephrasing two men wearing sunglasses, one wearing a cowboy hat",FALSE,Model predicted neutral; gold is entailment
eSNLI,,"Premise: An open air market in a poor and run down place.
Hypothesis: A person holds a red balloon in their hand and smiles.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are contradictory because an open air market in a poor and run down place is unlikely to have a person holding a red balloon and smiling.,0.9,0.8444746092694705,4.954931650005404,2,The person that smiles could not have been in a poor and run down place.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A person did a side flip while water boarding.
Hypothesis: A man did a side flip while on his pink water board.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,The premise and hypothesis are contradictory because water boarding is a form of torture and is not something that someone would voluntarily do a side flip while doing.,0.99,0.7604401763833937,3.845867735440614,1,Not all water boards are pink.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A pier and the people on it are silhouetted by a sunset.
Hypothesis: People on the pier enjoy the sunset.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,"The premise and hypothesis are contradictory because the people on the pier are silhouetted by the sunset, which means they are facing away from the sun and therefore cannot enjoy it.",0.9,0.7830383348645586,4.0924876097476846,1,Not all people enjoy sunset.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A man wearing a brown suit and glasses is taking into a microphone.
Hypothesis: A man is on a rollercoster at Disneyland.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise does not entail the hypothesis. A man wearing a brown suit and glasses is not on a rollercoster at Disneyland.,0.9,0.8319337319244038,4.755070183493874,2,The man can't talk into a microphone while riding a Rollercoster.,TRUE,Both contradiction; correct
eSNLI,,"Premise: the man is pedaling the tiny bike down the steps.
Hypothesis: The girl rolls down the hill
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are contradictory because the man is pedaling a tiny bike down the steps while the girl is rolling down a hill.,0.9,0.8138630986213684,4.290291752134051,2,"A man can't be a girl. Someone pedaling a bike down the steps can't roll down a hill simultaneously,",TRUE,Both contradiction; correct
eSNLI,,"Premise: A young, blond boy sitting in a white chair beside cactus plants is eating a sandwich.
Hypothesis: a child is outside eating lunch
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise contradicts the hypothesis because the child is not outside eating lunch.,0.9,0.7803320593777157,4.356693858192081,1,The fact that a child is eating a sandwich doesn't imply they are eating lunch.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Two dogs are running along a grassy path.
Hypothesis: Two cats are jumping.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise and hypothesis are about different animals, so they do not entail or contradict each other.",0.9,0.818525406,4.688577175140381,2,dogs and cats are not the same.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A man in a colorful button-up t-shirt is pouring what appears to be barbecue sauce onto something.
Hypothesis: A man in a colorful button-up shirt is marinating his meat.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,"The premise shows a man pouring barbecue sauce onto something, which is not consistent with the hypothesis that he is marinating his meat.",0.9,0.8449005208232186,5.350232973965731,0,Pouring barbecue sauce means marinating meat.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A man is sweeping trash into a pan while a group of people are walking by.
Hypothesis: A sad man is sweeping trash into a pan while a group of people are walking by.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not provide any information about the man's emotional state, so it cannot be determined if he is sad or not.",0.9,0.8331418225058803,4.547519719159162,1,The man doesn't have to be sad. He can have any type of emotion regardless of what he's doing.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: two men standing in the snow, one looking at the camera, the other reading a paper by a sign.
Hypothesis: Friends on a beach
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise and hypothesis are not related.,0.99,0.7711990368035104,4.397615300284492,2,Are they standing in the snow or on a beach?,TRUE,Both contradiction; correct
eSNLI,,"Premise: Numerous people, including a child in a brown jacket, watch a street performer wearing a white lab coat.
Hypothesis: A group of people watching someone perform in the street.
Does the premise entail, contradict, or is it neutral?",Neutral,neutral,The premise neither entails nor contradicts the hypothesis.,0.5,0.8587090880484194,5.415219074970967,0,Both sentence are talking about people,FALSE,Model predicted neutral; gold is entailment
eSNLI,,"Premise: A group of boaters in a village fish in collection of meat to feast a large group festival which will take place in the middle of these beautiful green mountains, along side of this lake.
Hypothesis: Some fishermen are out on the water
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not entail the hypothesis. The premise describes a situation where fishermen are fishing for a festival, but it does not imply that any fishermen are currently out on the water.",0.9,0.7339030170618598,3.7003544480053354,0,The boaters are fishing in the lake and are therefore fisherman on the water.,FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: Two men are riding in a speed boat.
Hypothesis: Two men walking through the desert.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,"The premise and hypothesis are two completely different scenarios, and one cannot logically follow from the other.",0.99,0.7527459667374691,4.301548004150391,2,There can't be a boat in the desert.,TRUE,Both contradiction; correct
eSNLI,,"Premise: Couple sharing a kiss on a balcony.
Hypothesis: The couple kiss for the photographer on the balcony.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not entail the hypothesis. The couple is sharing a kiss, not kissing for a photographer.",0.9,0.7626051157712936,4.059628677368164,1,A couple can kiss without a photographer.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Two men in black outfits are sitting at the base of a lamp post.
Hypothesis: Two men in black outfits are sitting down and spying on someone at the base of a lamp post.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,"The premise does not entail the hypothesis. The premise only describes the two men sitting at the base of the lamp post, while the hypothesis adds the additional information that they are spying on someone. Therefore, the hypothesis contradicts the premise.",0.9,0.7838400117097757,4.503661925976093,1,Not all men sitting at the base of a lamp post are spying on someone.,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: A group of men and women sit at laptop computers inside a coffee shop.
Hypothesis: The group is drinking coffee.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,The premise does not entail that the group is drinking coffee. It only states that they are sitting at laptop computers inside a coffee shop.,0.9,0.8161350041627884,4.940369276566939,1,People can sit in coffee shop without drinking,FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: There is a woman, several men, and several children on a sidewalk where produce is being sold.
Hypothesis: No one is outside because it is raining very hard.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise does not provide any information about the weather, so it cannot contradict the hypothesis.",0.9,0.8049813055473826,4.381211218626603,2,"The first one says several men, the second says no one.",TRUE,Both contradiction; correct
eSNLI,,"Premise: A young male surfer wearing a yellow shirt rides a wave in the ocean on his whiteboard.
Hypothesis: A surfer in yellow is a professional.
Does the premise entail, contradict, or is it neutral?",Entail,contradict,The premise does not entail that the surfer is a professional. The color of his shirt and the board are not indicative of his skill level.,0.9,0.7932584827830051,4.171708896242339,1,"Just because the surfer is wearing yellow, that does not mean that they are a professional.",FALSE,Model predicted contradiction; gold is neutral
eSNLI,,"Premise: Person in a yellow shirt and black shorts stretching on a bridge.
Hypothesis: Person in yellow shirt met accident on a bridge.
Does the premise entail, contradict, or is it neutral?",Entails,contradict,The premise does not entail the hypothesis. The person in yellow shirt and black shorts stretching on a bridge does not imply that the person met an accident on the bridge.,0.9,0.8073870044562125,4.606809677616242,2,Accident is different than stretching.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A child is holding a bunch of balloons in front of their face.
Hypothesis: The child's hands are empty.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,"The premise and hypothesis are contradictory because the child is holding balloons in front of their face, which means their hands are not empty.",0.9,0.825590278,4.705280099596296,2,A child can't be holding balloons yet the hands remain empty.,TRUE,Both contradiction; correct
eSNLI,,"Premise: A man and child are walking on a trail.
Hypothesis: A man and a child are outside.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise is a man and child walking on a trail, while the hypothesis is a man and a child outside. These two statements cannot both be true at the same time.",0.9,0.8070559913833295,4.4804211585752425,0,"if they are walking on a trail, that is outside.",FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A girl is sitting on a crudely made swing above the water.
Hypothesis: A girl is going down a giant waterslide at a theme park.
Does the premise entail, contradict, or is it neutral?",Contradict,contradict,The premise and hypothesis describe two different scenarios.,0.9,0.7817012104723189,4.441171275244819,2,A swing has neither water nor a slide.,TRUE,Both contradiction; correct
eSNLI,,"Premise: Young girls are wearing red and gold traditional Asian dresses and waving red and yellow flags.
Hypothesis: Girls are wearing red and gold dresses of Asian tradition while waving flags.
Does the premise entail, contradict, or is it neutral?",Entails,contradict,The premise contradicts the hypothesis because it mentions waving red and yellow flags which are not mentioned in the hypothesis.,0.9,0.8183978340205025,5.013531797072467,0,"""Girls are wearing red and gold dresses of Asian tradition while waving flags"" is a restatement of ""girls are wearing red and gold traditional Asian dresses and waving. . .flags.""",FALSE,Model predicted contradiction; gold is entailment
eSNLI,,"Premise: A singer kneels with his microphone while a drummer plays in the background.
Hypothesis: A singer kneels with his microphone while someone plays in the background.
Does the premise entail, contradict, or is it neutral?",Neutral,contradict,"The premise is more specific than the hypothesis. The premise specifies that the singer is kneeling with his microphone, while the hypothesis is more general and does not specify the position of the singer or the instrument played by the drummer.",0.9,0.8056701940337294,4.438829296513608,0,A drummer plays with a singer.,FALSE,Model predicted contradiction; gold is entailment
